NUM_ID,ID,set,Extractor,Host.species,Host.family,Host.order,Host.class,Host.phyla,Host.kingdom,Host.Age,Habitat,Water,Migration,Thermal.biology,Disease.species,Disease.isolate,Disease.type,Detection.method,Detection.Detail,Transmission.mode,ecto.endo.parasite,Latitude,Longitude,Location,Month.s.,Year,Date,Span,n,Infected,Prevalence,Paper,Full.citation,Longterm.tmp,bio7,Longterm.pre,Monthly.tmp,Monthly.pre,Uninfected,abslat
597,MM.2160,MM,OS,Callorhinus ursinus,Otariidae,Carnivora,Mammalia,Chordata,Animalia,,Aquatic,Marine,yes,Endothermic,Unicinaria lucasi,,Helminth,,,direct,endoparasite,57.12,-170.28,"St. Paul Island, Alaska, USA",July - August,2007,200707,2,64,4,0.0625,Ionita et al. 2008,"Ionita, M., M. G. Varela, E. T. Lyons, T. R. Spraker and S. C. Tolliver. 2008. Hookworms (uncinaria lucasi) and acanthocephalans (corynosoma spp. And bolbosoma spp.) found in dead northern fur seals (callorhinus ursinus) on st. Paul island, alaska in 2007. Parasitology Research 103: 1025-1029",1.6,18,609,9.55,545,60,57.12
765,AM.8208,AM,NA,Cygnus columbianus,Anatidae,Anseriformes,Aves,Chordata,Animalia,,Aquatic,Freshwater,yes,Endothermic,Haemoproteus,TUSW08,Protozoa,,,indirect,endoparasite,55.18791667,-162.8037833,"Cold Bay, Alaska, United States",July - August,2008,200807,2,104,3,0.028846,Ramey et al 2012,,3.4,18.2,958,9.65,367,101,55.18791667
766,AM.8181,AM,NA,Cygnus columbianus,Anatidae,Anseriformes,Aves,Chordata,Animalia,,Aquatic,Freshwater,yes,Endothermic,Leucocytozoon,TUSW02,Protozoa,,,indirect,endoparasite,55.18791667,-162.8037833,"Cold Bay, Alaska, United States",July - August,2008,200807,2,104,2,0.019231,Ramey et al 2012,,3.4,18.2,958,9.65,367,102,55.18791667
767,AM.8178,AM,NA,Cygnus columbianus,Anatidae,Anseriformes,Aves,Chordata,Animalia,,Aquatic,Freshwater,yes,Endothermic,Leucocytozoon,TUSW01,Protozoa,,,indirect,endoparasite,55.18791667,-162.8037833,"Cold Bay, Alaska, United States",July - August,2008,200807,2,104,2,0.019231,Ramey et al 2012,,3.4,18.2,958,9.65,367,102,55.18791667
782,FI.3,FI,OS,Oncorhynchus mykiss,Salmonidae,Salmoniformes,Actinopterygii,Chordata,Animalia,Adult,Aquatic,Both,yes,Ectothermic,Yersinia ruckeri,NA,Bacteria,Histopathology,"Kidney, Culture: Brain-Heart Infusion Agar, Culture: Brain-Heart Infusion Agar",direct,endoparasite,60.8,-160.95,"Kisaralik River, , Alaska",October,1998,199810,1,72,1,0.013889,US fish disease surveying,,-1.4,35.9,457,-0.4,457,71,60.8
1302,AM.8207,AM,NA,Cygnus columbianus,Anatidae,Anseriformes,Aves,Chordata,Animalia,,Aquatic,Freshwater,yes,Endothermic,Haemoproteus,TUSW08,Protozoa,,,indirect,endoparasite,58.682,-156.9145333,"King Salmon, Alaska, United States",July - August,2008,200807,2,103,9,0.087379,Ramey et al 2012,,1,30.8,509,11.55,608,94,58.682
1303,AM.8205,AM,NA,Cygnus columbianus,Anatidae,Anseriformes,Aves,Chordata,Animalia,,Aquatic,Freshwater,yes,Endothermic,Haemoproteus,TUSW06,Protozoa,,,indirect,endoparasite,58.682,-156.9145333,"King Salmon, Alaska, United States",July - August,2008,200807,2,103,20,0.194175,Ramey et al 2012,,1,30.8,509,11.55,608,83,58.682
1304,AM.2239,AM,NA,Cygnus columbianus,Anatidae,Anseriformes,Aves,Chordata,Animalia,,Aquatic,Freshwater,yes,Endothermic,Haemoproteus,CYGNUS01,Protozoa,,,indirect,endoparasite,58.682,-156.9145333,"King Salmon, Alaska, United States",July - August,2008,200807,2,103,17,0.165049,Ramey et al 2012,,1,30.8,509,11.55,608,86,58.682
1305,AM.8199,AM,NA,Cygnus columbianus,Anatidae,Anseriformes,Aves,Chordata,Animalia,,Aquatic,Freshwater,yes,Endothermic,Leucocytozoon,TUSW05,Protozoa,,,indirect,endoparasite,58.682,-156.9145333,"King Salmon, Alaska, United States",July - August,2008,200807,2,103,1,0.009709,Ramey et al 2012,,1,30.8,509,11.55,608,102,58.682
1306,AM.8191,AM,NA,Cygnus columbianus,Anatidae,Anseriformes,Aves,Chordata,Animalia,,Aquatic,Freshwater,yes,Endothermic,Leucocytozoon,TUSW04,Protozoa,,,indirect,endoparasite,58.682,-156.9145333,"King Salmon, Alaska, United States",July - August,2008,200807,2,103,1,0.009709,Ramey et al 2012,,1,30.8,509,11.55,608,102,58.682
